Bid	bod
Conference	conferentie
Decision	beslissing
Acceptance	acceptatie
Rejection	afwijzing
Document	document
Paper	artikel
PaperAbstract	synopsis 
PaperFullVersion	volledig artikel
Review	recentie
Meta-Review	metarecentie
Person	persoon
Chairman	voorzitter
ConferenceMember	conferentielid
AssociatedChair	medevoorzitter
Author	auteur
AuthorNotReviewer	auteur niet-recensent
Co-author	coauteur
ConferenceChair	conferentievoorzitter
ProgramCommitteeMember	programmacommissie lid
ProgramCommitteeChair	voorzitter programmacommissie
Reviewer	recensent
Meta-Reviewer	metarecensent
ExternalReviewer	externe recencent
User	gebruiker
Administrator	beheerder
Preference	voorkeur
ProgramCommittee	programmacommissie
SubjectArea	onderwerp
acceptedBy	geaccepteerd door
acceptPaper	accepteer artikel
addedBy	toegevoegd door
addProgramCommitteeMember	voeg programmacommissie lid toe
adjustBid	pas bod aan
adjustedBy	aangepast door
assignedByAdministrator	toegewezen door beheerder
assignedByReviewer	toegewezen door recencent
assignedTo	toegewezen aan
assignExternalReviewer	wijs externe recencent toe
assignReviewer	wijs recencent toe
co-writePaper	co-schrijf artikel
detailsEnteredBy	details ingevuld door
enableVirtualMeeting	laat virtuele vergadering toe
endReview	eindrecentie
enterConferenceDetails	vul conferentie details in
enterReviewCriteria	vul recentie criteria in
finalizePaperAssignment	maak toewijzing artikel af
hardcopyMailingManifestsPrintedBy	hardcopy verstuurbewijs afgedrukt door
hasAuthor	heeft auteur
hasBeenAssigned	is toegekend
hasBid	heeft bod
hasCo-author	heeft coauteur
hasConferenceMember	heeft conferentielid
hasConflictOfInterest	heeft belangenverstrengeling
hasDecision	heeft beslissing
hasProgramCommitteeMember	heeft programmacommisie lid
hasSubjectArea	heeft onderwerp
markConflictOfInterest	markeer belangenverstrengeling
memberOfConference	lid van conferentie
memberOfProgramCommittee	lid van programmacommissie
paperAssignmentFinalizedBy	toekenning artikel afgemaakt door
paperAssignmentToolsRunBy	toekenning artikel tool gebruikt door
printHardcopyMailingManifests	hardcopy verstuurbewijs
readByMeta-Reviewer	gelezen door metarecencent
readByReviewer	gelezen door reviewer
readPaper	artikel gelezen
rejectedBy	afgewezen door
rejectPaper	wijs artikel af
reviewCriteriaEnteredBy	recentie criteria ingevuld door
reviewerBiddingStartedBy	recentie bieden begonnen door
runPaperAssignmentTools	gebruik artikel toewijzings tool
setMaxPapers	stel maximaal aantal artikelen in
startReviewerBidding	begin recentie bieden
submitPaper	dien artikel in
virtualMeetingEnabledBy	virtuele vergadering toegelaten door
writePaper	schrijf artikel
writeReview	schrijf recentie
writtenBy	geschreven door
acceptsHardcopySubmissions	accepteerd hardcopy submissies
date	datum
email	email
logoURL	logo URL
maxPapers	maximum aantal artikelen
name	naam
paperID	paper ID
reviewsPerPaper	recenties per artikel
siteURL	website URL
title	titel
