City	stad
Contribution	bijdrage
Paper	artikel
Poster	poster
Short_paper	kort artiekel
Country	land
Event	gebeurtenis
Administrative_event	administratieve gebeurtenis
Camera_Ready_event	drukklaar gebeurtenis
Registration_of_participants_event	deelnemersregistratie gebeurtenis
Reviewing_event	recensie gebeurtenis
Reviewing_results_event	recensieresultaat gebeurtenis
Submission_event	indienen gebeurtenis
Social_event	sociale gebeurtenis
Banquet	banket
Reception	receptie
Trip	reis
Working_event	werken gebeurtenis
Conference	conferentie
Tutorial	snelcursus
Workshop	workshop
Organization	organisatie
Company	bedrijf
University	universiteit
Person	persoon
Administrator	beheerder
Assistant	assistent
Author	auteur
Chair_PC	voorzitter programmacommissie
Member_PC	lid programmacommissie
Participant	deelnemer
Member	lid
Regular	gewoon
Student	student
Scholar	wetenschapper
Science_Worker	wetenschappelijk medewerker
Volunteer	vrijwilliger
Topic	onderwerp
dealsWith	heeft te maken met
employedBy	werknemer van
expertOn	expert op het gebied van
follows	volgt
hasAdministrativeEvent	heeft administratieve gebeurtenis
hasCity	heeft stad
hasCountry	heeft land
hasTopic	heeft onderwerp
parallel_with	parallel met
reviewes	recensies
studyAt	studeert bij
writes	schrijft
writtenBy	geschreven door
abstract	abstract
contactEmail	contactinformatie email
defaultChoice	standaard keuze
earlyRegistration	vroege registratie
ends_on	eindigt op
has_short_title	heeft korte titel
has_title	heeft titel
hasEmail	heeft email
hasFax	heeft fax
hasFirstName	heeft voornaam
hasHomePage	heeft webpagina
hasKeyword	heeft steekwoord
hasPhone	heeft telefoon
hasPostalCode	heeft postcode
hasStreet	heeft straat
hasSurname	heeft achternaam
hasTitle	heeft titel
hasVAT	heeft BTW
location	plaats
maxChoice	maximum keuze
minChoice	minimum keuze
remark	opmerking
starts_on	begint op
