City	Stadt
Contribution	Einreichung
Paper	Papier
Poster	Poster
Short_paper	kurzes Papier
Country	Land
Event	Ereignis
Administrative_event	administratives Ereignis
Camera_Ready_event	Ereignis des Sendens des "camera-ready" Papiers
Registration_of_participants_event	Ereignis zur Registrierung der Teilnehmer
Reviewing_event	Ereignis der Begutachtung
Reviewing_results_event	Ergebnis-der-Begutachtung_Ereignis
Submission_event	Ereignis des Einreichens eines Papiers
Social_event	soziales Ereignis
Banquet	Bankett
Reception	Empfang
Trip	Ausflug
Working_event	Arbeits-Ereignis
Conference	Konferenz
Tutorial	Tutorium
Workshop	Workshop
Organization	Organisation
Company	Firma
University	Universität
Person	Person
Administrator	Administrator 
Assistant	Assistent
Author	Autor
Chair_PC	Vorsitz des Programmkomitees
Member_PC	Mitglied des Programmkomitees
Participant	Teilnehmer
Member	Mitglied
Regular	regulärer Teilnehmer
Student	studentischer Teilnehmer
Scholar	Student
Science_Worker	Wissenschaftler
Volunteer	Freiwilliger
Topic	Thema
dealsWith	beschäftigt sich mit
employedBy	angestellt bei
expertOn	fachkundig für
follows	folgt
hasAdministrativeEvent	hat administratives Event
hasCity	hat Stadt
hasCountry	hat Land
hasTopic	hat Thema
parallel_with	gleichzeitig mit
reviewes	begutachtet
studyAt	studiert an
writes	schreibt
writtenBy	geschrieben von
abstract	hat Abstrakt	hat Zusammenfassung
contactEmail	hat Kontakt-Email Adresse
defaultChoice	vorgegebene_Anzahl
earlyRegistration	frühzeitige Registrierung
ends_on	endet am
has_short_title	hat Kurztitel
has_title	hat Titel
hasEmail	hat Email Adresse
hasFax	hat Faxnummer
hasFirstName	hat Vornamen
hasHomePage	hat Homepage
hasKeyword	hat Stichwörter
hasPhone	hat Telephonnummer
hasPostalCode	hat Postleitzahl
hasStreet	hat Straße
hasSurname	hat Nachname
hasTitle	hat Titel
hasVAT	hat Mehrwertsteuer
location	findet statt an
maxChoice	maximale Anzahl
minChoice	minimale Anzahl
remark	hat Anmerkung
starts_on	startet am
