Administrative_event	الحدث الإداري
Administrator	المشرف
Assistant	المساعد
Author	الكاتب
Banquet	مأدبة
Chair_PC	رئيس اللجنة الغلمية
City	المدينة
Company	الشركة
Conference	مؤتمر
Contribution	مساهمة
Country	بلد
dealsWith	يتعامل مع الموضوع
employedBy	متستخدمة من قبل
ends_on	انتهاء يوم الحدث
Event	الحدث
location	حدث يقام في
Registration_of_participants_event	حدث تسجيل الحدث المشاركين
Reviewing_event	حدث المراجعة
Reviewing_results_event	حدث نتائج المراجعة 
Camera_Ready_event	حدث إرسال نسخة بعد اجراء التعديل جاهزة للتصوير
Submission_event	حدث الارسال
expertOn	خبير في الموضوع
follows	يتبع
abstract	لديه ملخص
contactEmail	لديه اتصال البريد الإلكتروني
hasEmail	لديه بريد الكتروني
hasFax	لديه الفاكس
hasFirstName	لديه الاسم الأول
hasHomePage	لديه الصفحة الرئيسية
hasKeyword	لديه كلمات البحث
hasPhone	لديه الهاتف
hasPostalCode	لديه الرمز البريدي
hasAdministrativeEvent	لديه الحدث الإداري ذات الصلة
remark	لديه ملاحظة
has_short_title	لديه عنوان قصير
hasSurname	لديه اللقب
has_title	لديه عنوان 
hasTitle	لديه عنوان
hasTopic	لديه موضوع
hasVAT	لديه قيمة ضريبة مضافة
parallel_with	بتوازي مع
Member_PC	عضو في اللجنة العلمية
Organization	منظمة
Paper	بحث
Participant	مشارك
earlyRegistration	المشارك في المؤتمر لديه التسجيل مبكر
Person	شخص
Member	شخص مشارك مع المؤتمر
Poster	ملصق
Reception	استقبال
Regular	مشارك منتظم في المؤتمر
reviewes	المراجعين
Science_Worker	عامل العلم
defaultChoice	تحديد عدد الخيار الافتراضي من الحدث 
maxChoice	تحديد العدد الأقصى من الحدث
minChoice	تحديد أقل عدد من الحدث
Short_paper	بحث قصير
Social_event	الحدث الاجتماعي
starts_on	بدء يوم الحدث
hasCity	البقاء في المدينة
hasCountry	البقاء في البلد
hasStreet	البقاء في الشارع
Scholar	طالب
Student	طالب مشارك في المؤتمر
studyAt	دراسة في الجامعة
Topic	الموضوع
Trip	رحلة
Tutorial	البرنامج التعليمي
University	الجامعة
Volunteer	متطوع في المؤتمر
Working_event	حدث عملي
Workshop	ورشة عمل
writes	يكتب المساهمة
writtenBy	كتب من قبل الكاتب
